flowrate (ml/s)
2.100451
2.613188
4.132279
6.301960
8.448246
10.085340
11.008080
11.107830
10.707050
10.276800
9.997774
9.673229
9.129652
8.436407
7.736785
7.114633
6.586043
6.160881
5.838088
5.612801
5.460437
5.336691
5.208926
5.091001
5.006077
4.950172
4.895480
4.820122
4.723760
4.611095
4.497874
4.408334
4.357557
4.334715
4.326446
4.342895
4.409991
4.532698
4.665082
4.758465
4.812820
4.856758
4.909125
4.967676
5.027235
5.080036
5.116972
5.128729
5.105636
5.040893
4.949210
4.854740
4.769295
4.685054
4.593730
4.495104
4.392127
4.289425
4.193941
4.112249
4.048001
4.003679
3.975503
3.952067
3.924151
3.894822
3.870610
3.855370
3.850099
3.845062
3.836217
3.832615
3.836050
3.841525
3.843441
3.835031
3.810016
3.774316
3.743878
3.729036
3.722556
3.713633
3.687041
3.624398
3.521112
3.408212
3.318355
3.238846
3.128512
2.974616
2.828871
2.744820
2.710782
2.679274
2.621831
2.547649
2.466270
2.355295
2.179521
